Data Item,Description,Type,Unit,Function
Vehicle.Diagnostics.Transmission.RelativeThrottlePosition,"The current relative position of the throttle, as related to or learned based on the calculated voltage offset for the closed-throttle position.",number,%,r
Vehicle.Diagnostics.Transmission.Temperature,Transmission Temperature.,number,C,r
Vehicle.Diagnostics.Transmission.Torque,Transmission Torque.,number,Nm,r
Vehicle.Diagnostics.Trottle.Actuator,"The current status of the throttle, from commanded closed (0%) to commanded open (100%).",number,%,r
Vehicle.Diagnostics.Trottle.Position,The current absolute position of the throttle for sensor A on the throttle plate.,number,%,r
Vehicle.Diagnostics.Trottle.PositionB,The current absolute position of the throttle for sensor B on the throttle plate.,number,%,r
Vehicle.Diagnostics.Trottle.PositionC,The current absolute position of the throttle for sensor C on the throttle plate.,number,%,r
Vehicle.Diagnostics.Turbocharger.CoimpressorInletPressure,Turbocharger Compressor Inlet Pressure.,number,kPA,r
Vehicle.Diagnostics.Turbocharger.RPM,Turbocharger RPM.,number,rpm,r
Vehicle.Diagnostics.Turbocharger.Temperature,Turbocharger Temperature.,number,C,r
Vehicle.Diagnostics.Turbocharger.VeriableGeometryTurboControl,Variable Geometry Turbo Control.,string,-,r
Vehicle.Diagnostics.Turbocharger.WastegateControl,Wastegate Control.,string,-,r
Vehicle.Diagnostics.WarmupsSinceDTCClear,The current number of engine warm-up cycles (coolant >22°C & engine >70°C / >60°C for diesel) since any Diagnostic Trouble Codes were cleared with a scan tool.,number,-,r
Vehicle.DiagnosticsMilOnRequest,A request to turn on MIL.,boolean,-,r
Vehicle.Driver.DrivingCoaching,Driver Coaching.,string,-,r
Vehicle.Driver.ID,Driver ID.,string,-,r
Vehicle.Driver.Stars.AccelerationBehavior,The current number of stars awarded to the acceleration behavior of the driver based on the driving style analysis.,number,-,r
Vehicle.Driver.Stars.BrakingBehavior,The current number of stars awarded to the braking behavior of the driver based on the driving style analysis.,number,-,r
Vehicle.Driver.Stars.ProactiveDrivingBehavior,The current number of stars awarded to the proactive driving behavior of the driver based on the driving style analysis.,number,-,r
Vehicle.ECM.FaultSignal,Fault Signal of ECM.,string,-,r
Vehicle.ECM.Voltage,"The current power input to the control module, typically a few tenths of a volt below the current battery voltage.",number,V,r
Vehicle.ECU.CurrentTemperature,ECU Temperature at Current Level.,number,C,r
Vehicle.ECU.HWVersion,Hardware Version of ECU.,string,-,r
Vehicle.ECU.IdentificationNumber,ECU Identification Number.,string,-,r
Vehicle.ECU.PartNumber,ECU Part Number.,string,-,r
Vehicle.ECU.SoftwareVersion,Current Software Version of ECU.,string,-,r
Vehicle.ECU.TemperatureRanges,ECU Operational Temperature Ranges & Damaging Temperature.,string,-,r
Vehicle.ECU.TravelledDistance,ECU Driving Distance.,number,km,r
Vehicle.ECU.Voltage,The current power input to ECU.,number,V,r
Vehicle.Electric.ContractID,Electric Vehicle Contract ID.,string,-,rw
Vehicle.Electric.Plug.IsConnected,An indication of whether or not the vehicle is currently connected to a charging plug.,boolean,-,r
Vehicle.Electric.Plug.Type,Electric plug type.,string,-,r
Vehicle.Electric.VehicleID,Electric Vehicle-Specific IDs for Mobility Service Provider.,string,-,r
Vehicle.EmissionsCO2,The CO2 emissions in g/km.,number,g/km,r
Vehicle.ExhaustFluid.Level,The current estimated exhaust fluid fill in litres.,number,l,r
Vehicle.Engine.Configuration,"An indication of the type of engine and engine displacement in liters, as provided by the vehicle.",string,-,r
Vehicle.Engine.Coolant.DistanceToService,The current remaining number of kilometers until the next coolant service should be performed.,number,km,r
Vehicle.Engine.Coolant.Level,Coolant Level.,number,%,r
Vehicle.Engine.Coolant.ResourceRemaining,The current remaining lifetime of the coolant relative to its maximum purity and composition integrity.,number,%,r
Vehicle.Engine.Coolant.ServicesDone,The current cumulative number of coolant services performed on the vehicle.,number,-,r
Vehicle.Engine.Coolant.Temperature,The current measured temperature of coolant in the engine at its current temperature.,number,C,r
Vehicle.Engine.EngineLoad,Mechanical Load of the Engine.,number,,r
Vehicle.Engine.IgnitionOn,"An indication of whether the ignition is currently on or off, or if the status is unknown.",boolean,-,r
Vehicle.Engine.IsOn,"An indication of whether the engine is currently on or off, or whether this is unknown.",boolean,-,r
Vehicle.Engine.MAP,Boost Pressure Control.,string,-,r
Vehicle.Engine.MaxTorque,Engine Reference Torque.,number,Nm,r
Vehicle.Engine.Oil.ChangeDue,Time until next Required Oil Change.,string,-,r
Vehicle.Engine.Oil.DistanceToService,The current remaining number of kilometers until the next engine oil service should be performed.,string,-,r
Vehicle.Engine.Oil.Level,The current estimated oil tank liquid fill.,number,%,r
Vehicle.Engine.Oil.Pressure,Oil Pressure.,number,kPa,r
Vehicle.Engine.Oil.ResourceRemaining,The current remaining lifetime of the engine oil relative to its maximum purity and composition integrity.,string,-,r
Vehicle.Engine.Oil.ServicesDone,The current cumulative number of engine oil services performed on the vehicle.,number,-,r
Vehicle.Engine.Oil.Temperature,Oil Temperature in Engine.,number,C,r
Vehicle.Engine.RPM,The current speed of the engine in terms of the revolutions per minute the crank shaft rotates about its axis.,number,rpm,r
Vehicle.Engine.Runtime,Time since Engine Start.,string,-,r
Vehicle.Engine.Torque,The current percentual torque of the drive engine.,number,%,r
Vehicle.Engine.TPS,Current throttle position.,number,%,r
Vehicle.EVBattery.Age,The age of the drive battery by production date.,string,-,r
Vehicle.EVBattery.Capacity,The current available electric vehicle battery capacity as a percentage of the minimum (0%) and maximum (100%) recommended battery range voltage.,number,%,r
Vehicle.EVBattery.Charging.CurentType,An indication of the type of current (direct or alternating current) the vehicle was charged with and which charging plug was used for this purpose.,string,-,r
Vehicle.EVBattery.Charging.Current,The charging power in A  for the most recent charging process when charging with alternating current.,number,A,r
Vehicle.EVBattery.Charging.Plan,Electric Vehicle Charge Plan.,string,-,r
Vehicle.EVBattery.Charging.Profile,The charging mode most recently selected for the vehicle.,string,-,r
Vehicle.EVBattery.Charging.RemoteProfile,The charging profile of the vehicle that was configured remotely via app.,string,-,r
Vehicle.EVBattery.Charging.Status,The current charging status of the vehicle(string),string,-,r
Vehicle.EVBattery.Charging.TimeTillFullyCharged,An estimated value of the time needed till the battery is fully charged.,string,-,r
Vehicle.EVBattery.Charging.Voltage,The charging voltage for the most recent charging process when charging with alternating current.,number,V,r
Vehicle.EVBattery.Charging.Window,An indication of whether a pre-defined time window in which the high-voltage battery of the vehicle should be charged was chosen.,string,-,rw
Vehicle.EVBattery.Consumption,The current consumption of electrical energy by the drive battery.,number,kWh,r
Vehicle.EVBattery.Current,Battery Current.,number,A,r
Vehicle.EVBattery.HealthStatus,An indication of the current battery health status.,boolean,-,r
Vehicle.EVBattery.HVBattery.LastTripChargingStatus,The charging status of the high-voltage battery at the end of the most recent trip.,string,-,r
Vehicle.EVBattery.LVBattery.ChargingStatus,The current charging status of the low-voltage battery in percent.,number,%,r
Vehicle.EVBattery.NumberOfQuickCharges,Number of Quick Charges Performed.,number,-,r
Vehicle.EVBattery.Range,The current calculated remaining range of the electric vehicle based on the current battery capacity and energy demand.,number,km,r
Vehicle.EVBattery.SOC,The current percentual state of charge of the vehicle's drive battery relative to the battery's theoretical full charge at 100%.,number,%,r
Vehicle.EVBattery.Temperature,Battery Temperature during Operation & Sleeping at Current Level.,number,C,r
Vehicle.EVBattery.TimeDriven,Total Time Driven on Battery.,string,-,r
Vehicle.EVBattery.TravelledDistance,The current number of kilometers driven since the battery was last charged.,number,km,r
Vehicle.EVBattery.UseStatus,Battery Use Status.,string,-,r
Vehicle.FuelSystem.AverageConsumption,Average Fuel Consumption.,number,l/km,r
Vehicle.FuelSystem.DieselAdditive.DistanceToService,The current remaining number of kilometers until the next diesel additive service should be performed.,number,km,r
Vehicle.FuelSystem.DieselAdditive.Level,Diesel Additive Level.,number,%,r
Vehicle.FuelSystem.DieselAdditive.LowLevel,An indication of whether the diesel additive level running low and in need of a refill.,boolean,-,r
Vehicle.FuelSystem.DieselAdditive.RemainingRange,The current calculated remaining range of the diesel additive fluid based on the current diesel additive level and demand.,string,-,r
Vehicle.FuelSystem.DieselAdditive.ResourceRemaining,The current remaining lifetime of the diesel additive relative to its maximum purity and composition integrity.,string,-,r
Vehicle.FuelSystem.DieselAdditive.ServicesDone,The current cumulative number of diesel additive services performed on the vehicle.,number,-,r
Vehicle.FuelSystem.EngineStopStartEnabled,An indication of whenever engine start/stop is enabled for the vehicle.,boolean,-,r
Vehicle.FuelSystem.ForecastedRange,An indication of the current calculated remaining range of the vehicle based on the remaining fuel and fuel demand.,number,km,r
Vehicle.FuelSystem.Fuel.EthanolPercent,The current percentage of ethanol blended into the engine fuel.,number,%,r
Vehicle.FuelSystem.Fuel.Level,The current estimated fuel tank liquid fill level based on the tank float.,number,%,r
Vehicle.FuelSystem.Fuel.Quality,Fuel Quality.,string,-,r
Vehicle.FuelSystem.Fuel.Type,An indication of the fuel type of the vehicle as provided by the vehicle.,string,-,r
Vehicle.FuelSystem.FuelPressure,The current gauge pressure of engine fuel in the lift pump.,number,kPa,r
Vehicle.FuelSystem.FuelRate,Instant Fuel Consumption.,number,ml^3/s,r
Vehicle.FuelSystem.Range,The current remaining range of the fuel tank contents.,number,km,r
Vehicle.FuelSystem.Tank.Temperature,Temperature of the fuel tank.,number,C,r
Vehicle.EVBattery.ResourceRemaining,The current remaining lifetime of the high voltage battery relative to its maximum intended charge capacity.,number,%,r
Vehicle.Immobilezer.Status,An indication of the current lock status of the alcohol lock.,string,-,r
Vehicle.IsMoving,An indication of whether the vehicle was in motion at the time of data collection.,boolean,-,r
Vehicle.Maintenance.AverageWeeklyDistance,Average distance travelled per week oevr last two months.,number,km,r
Vehicle.Maintenance.Check.DueDate,An indication of the point in time the driver receives a message informing that the vehicle will soon be due for a service.,string,-,r
Vehicle.Maintenance.Check.History.Size,An indication of the cumulative numbers of vehicle checks performed on the vehicle.,number,-,r
Vehicle.Maintenance.Inspection.CheckIndicator,An indication of whether a planned inspection for the vehicle is due.,boolean,-,r
Vehicle.Maintenance.Inspection.DueDate,The current remaining months before the next inspection.,string,-,r
Vehicle.Maintenance.Inspection.DueDistance,The current remaining number of kilometers until the next planned inspection should be performed.,number,km,r
Vehicle.Maintenance.Service.AdvisorNotificationDate,Indicates when serviuce advisor will be notified about next vehicle service.,string,-,r
Vehicle.Maintenance.Service.ConditionBasedServices,Condition Based Services.,string,-,r
Vehicle.Maintenance.Service.ConditionBasedServicesCount,Condition Based Services Count.,number,-,r
Vehicle.Maintenance.Service.DistanceFrom,The current number of kilometers driven since the previous maintenance service was performed.,number,km,r
Vehicle.Maintenance.Service.DueDate,The current remaining time before the next planned maintenance service.,string,-,r
Vehicle.Maintenance.Service.DueDistance,The current remaining number of kilometers until the next planned maintenance service should be performed.,number,km,r
Vehicle.Maintenance.Service.History,The current status of maintenance services performed at a particular date.,string,-,r
Vehicle.Maintenance.Service.Indicator,An indication of the vehicle soon being due for a service based on the odometer value.,boolean,-,r
Vehicle.Maintenance.Service.Indicator.DistanceThreshhold,The threshold value stored in the vehicle that determines from how many kilometers before a service is due the driver is first notified.,number,km,r
Vehicle.Maintenance.Service.Indicator.TimeThreshhold,The threshold value stored in the vehicle that determines from how many weeks before a service is due the driver is first notified.,string,-,r
Vehicle.Maintenance.Service.Pending.Size,The current number of important condition-based service reports and pending service appointments.,number,n,r
Vehicle.Maintenance.Service.TimeFrom,The current amount of time passed since the last maintenance service was performed.,string,-,r
Vehicle.Maintenance.Service.Type,An indication of the required type of maintenance service according to a maintenance code provided.,string,-,r
Vehicle.Maintenance.SparkPlug.DistanceToService,The current remaining number of kilometers until the spark plugs service should be performed.,number,km,r
Vehicle.Maintenance.SparkPlug.ServicesDone,The current cumulative number of spark plug services performed on the vehicle.,number,-,r
Vehicle.Maintenance.WeeklyDistance,Average distance travelled per week.,number,km,r
Vehicle.Maintenance.WorkshopVisit.Date,The time of a workshop visit or the start of a diagnostic session.,string,-,r
Vehicle.Measures.SpeedAccuracy,The accuracy estimation of the current vehicle speed based on the coherence of the sensoric data used.,string,-,r
Vehicle.Mileage,The current total lifetime mileage of the vehicle as tracked by the vehicle.,number,km,r
Vehicle.MobilePhoneConnected,"An indication of whether a mobile phone is or is not linked to the vehicle, or whether the connection status is unknown.",boolean,-,r
Vehicle.OBD.PidsC,"An indication of which OBD PIDs are supported by the vehicle over the OBD-2 protocol, provided as separate data items for 20 PIDs per data item.",string,-,r
Vehicle.Position,The current GPS position of the vehicle.,string,-,r
Vehicle.Position.Accuracy,The accuracy estimation of the current GPS location values based on the availability of satellite information.,string,-,r
Vehicle.Position.Altitude,The current height of the vehicle above sea-level.,number,m,r
Vehicle.Position.Heading,The current orientation of the vehicle in radial degrees.,number,rad,r
Vehicle.Position.Latitude,The current vehicle latitude.,number,degrees,r
Vehicle.Position.Longitude,The current vehicle longitude.,number,degrees,r
Vehicle.Speed,The current speed in km/h measured by the vehicle speed sensor at which the vehicle is currently moving.,number,km/h,r
Vehicle.StillTime,The time of vehicle standing w/o movements.,string,-,r
Vehicle.Surroundings.AirTemperature,The current measured temperature outside the vehicle as measured by the air temperature sensor.,number,C,r
Vehicle.Surroundings.AirHumidity,The current measured humidity outside the vehicle as measured by the air humidity sensor.,number,g/m^3,r
Vehicle.Surroundings.Luminosity,The current measured luminosity outside the vehicle as measured by the luminosity sensor.,number,joule/s,r
Vehicle.Surroundings.BarometricPressure,"The current barometric pressure measured, not adjusted to sea level.",number,kPa,r
Vehicle.Surroundings.DrivingSurface,The current measured condition of the driving surface as influenced by surface smoothness.,string,-,r
Vehicle.Surroundings.Offroad,"The flag, indicating off the road status.",boolean,-,r
Vehicle.Surroundings.EnvironmentConditions,The current environmental conditions as registered by the environmental sensors in the vehicle.,string,-,r
Vehicle.Surroundings.Pictures,The stored images from onboard cameras.,string,-,r
Vehicle.Surroundings.Slope,The current forward upward or downward orientation of the vehicle in radial degrees.,number,rad,r
Vehicle.Surroundings.Slope90,The current sideways tilt orientation of the vehicle to the left or to the right in radial degrees.,number,rad,r
Vehicle.Surroundings.TrafficLights,The currently detected traffic lights and the light signal currently transmitted by them.,string,-,r
Vehicle.Surroundings.TrafficSigns,The currently detected traffic signs in the vehicle's surroundings and their meaning.,string,-,r
Vehicle.PrivacyMode.Status,Privacy mode status.,boolean,-,r
Vehicle.Teleservice.ACN,Automatic Crash Notification.,string,-,r
Vehicle.Teleservice.Event.AutomaticServiceCall,Service call event.,string,-,r
Vehicle.Teleservice.Event.BatteryGuardCall,Batter guard call event.,string,-,r
Vehicle.Teleservice.Event.ManualServiceCall,Manual service call event.,string,-,r
Vehicle.Teleservice.Event.Position,Position update event.,string,-,r
Vehicle.Teleservice.IsSupported,Status of teleservice for the vehicle.,boolean,-,r
Vehicle.Transmission.DrivetrainMode,"DrivetrainMode (4WD, FWD, RWD)",string,-,r
Vehicle.Transmission.ActivatedMode,"Activated mode of of the transmission, such as ECO, ECO PLUS, SPORT.",string,-,r
Vehicle.Transmission.Gear,Currently selected gear.,string,-,r
Vehicle.Transmission.Oil.Level,Transmission oil level.,number,,r
Vehicle.Transmission.GearRatios,Gear transmission ratios.,string,-,r
Vehicle.Transmission.Type,Transmission type.,string,-,r
Vehicle.Trip.AverageSpeed,The current average speed in km/h at which the vehicle is moving during the current trip.,number,km/h,r
Vehicle.Trip.DistanceDriven,The current length of the trip in kilometers.,number,km,r
Vehicle.Trip.DrivingTime,The current length of the trip in time.,string,-,r
Vehicle.Trip.ElectricallyDriven,The share of the most recent trip's distance covered with electrical energy.,number,%,r
Vehicle.Trip.ElectricityConsumption,The total energy consumption during the most recent trip.,number,kWh,r
Vehicle.Trip.ElectricityConsumptionComfortMode,The current electrical energy consumption in COMFORT mode during the most recent trip.,number,kWh,r
Vehicle.Trip.EnetrgyRecuperated,The electrical energy recuperated during the most recent trip.,number,kWh,r
Vehicle.Trip.FuelConsumption,The cumulative fuel consumption for the trip.,number,l,r
Vehicle.Trip.ID,The  trip ID as reported by the vehicle.,string,-,r
Vehicle.Trip.IdleTime,Idle time of the trip in format hh:mm:ss.,string,-,r
Vehicle.Trip.TripEnd.HVsoc,The state of HV battery at the end of the trip.,string,-,r
Vehicle.Trip.TripEnd.Mileage,The odometer value at the end of a trip.,number,km,r
Vehicle.Trip.TripEnd.Position,The location of the vehicle and the time at the end of a trip with a specific trip number.,string,-,r
Vehicle.Trip.TripEnd.Timestamp,The time at the end of a trip with a specific trip number.,string,-,r
Vehicle.Trip.TripStart.Mileage,The odometer value at the start of a trip.,number,km,r
Vehicle.Trip.TripStart.Position,The location of the vehicle and the time at the beginning of a trip with a specific trip number.,string,-,r
Vehicle.Trip.TripStart.Timestamp,The time at the beginning of a trip with a specific trip number.,string,-,r
Vehicle.VehicleIdentification.BodyType,Vehicle model.,string,-,r
Vehicle.VehicleIdentification.Brand,"An indication of the original equipment manufacturer of the vehicle, as provided by the vehicle.",string,-,r
Vehicle.VehicleIdentification.Model,Vehicle manufacturer/OEM.,string,-,r
Vehicle.VehicleIdentification.ProductionDate,"The date the vehicle passed the inspection after production, as provided by the vehicle.",string,-,r
Vehicle.VehicleIdentification.Registration.Country,"An indication of the country in which the vehicle is currently registered, as provided by the vehicle.",string,-,r
Vehicle.VehicleIdentification.Registration.First,The date of first registration.,string,-,r
Vehicle.VehicleIdentification.SeatingCapacity,Vehcile seating capacity.,string,-,r
Vehicle.VehicleIdentification.VehicleConfiguration,The manufacturer-specific identification code of the vehicle-specific combination of features as stored in the vehicle.,string,-,r
Vehicle.VehicleIdentification.VehicleSoftware,The current firmware or software version of a component as stored in the vehicle.,string,-,r
Vehicle.VehicleIdentification.VIN,Vehcile identification number.,string,-,r
